# COSI2 B0 scan
# time 2024-05-27 11:16:39.641517
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240412/sphere_ball_small:magnet_x-y+z-
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
180.810,114.140,308.870,-47.5510,-0.8390,-2.2720,47.6140
206.530,114.140,308.870,-47.5700,-0.8300,-2.2450,47.6300
232.240,114.140,308.870,-47.6090,-0.8000,-2.2390,47.6650
257.960,114.140,308.870,-47.5910,-0.8090,-2.2440,47.6530
283.670,114.140,308.870,-47.5870,-0.8170,-2.2670,47.6470
309.390,114.140,308.870,-47.5960,-0.8170,-2.3020,47.6550
335.100,139.860,308.870,-47.6090,-0.8050,-2.3650,47.6740
309.390,139.860,308.870,-47.5910,-0.7810,-2.4480,47.6640
283.670,139.860,308.870,-47.5090,-0.5770,-2.7570,47.6050
257.960,139.860,308.870,-47.7220,-0.5960,-2.7340,47.7940
232.240,139.860,308.870,-47.7450,-0.7200,-2.4670,47.8140
206.530,139.860,308.870,-47.6720,-0.7740,-2.3280,47.7400
180.810,165.570,308.870,-47.6270,-0.7970,-2.2660,47.6920
206.530,165.570,308.870,-47.6040,-0.7940,-2.2500,47.6650
232.240,165.570,308.870,-47.6140,-0.7670,-2.2220,47.6720
257.960,165.570,308.870,-47.6060,-0.7720,-2.2200,47.6630
283.670,165.570,308.870,-47.6320,-0.7850,-2.2190,47.6860
309.390,165.570,308.870,-47.7070,-0.7660,-2.2370,47.7580
309.390,191.290,308.870,-47.8710,-0.7060,-2.3270,47.9180
283.670,191.290,308.870,-48.1580,-0.4480,-2.6510,48.2330
257.960,191.290,308.870,-48.7230,-0.0360,-2.4450,48.7850
232.240,191.290,308.870,-48.1500,-0.5490,-2.1510,48.2390
309.390,191.290,334.590,-47.7960,-0.7350,-2.1330,47.8690
283.670,191.290,334.590,-47.6470,-0.7780,-2.1550,47.7090
257.960,191.290,334.590,-48.9690,-0.9340,-2.2040,48.9020
232.240,191.290,334.590,-48.2740,-0.9020,-2.1380,48.3910
206.530,165.570,334.590,-47.8110,-0.8390,-2.1360,47.8860
232.240,165.570,334.590,-47.6530,-0.8080,-2.1640,47.7090
257.960,165.570,334.590,-47.5940,-0.7730,-2.2210,47.6540
283.670,165.570,334.590,-47.6250,-0.8010,-2.2380,47.6790
309.390,139.860,334.590,-47.7170,-0.8240,-2.2600,47.7670
283.670,139.860,334.590,-47.9310,-0.8540,-2.3670,47.9780
257.960,139.860,334.590,-47.8770,-0.8770,-2.7650,47.9810
232.240,139.860,334.590,-47.7830,-0.8550,-2.5470,47.8630
206.530,114.140,334.590,-47.6890,-0.8420,-2.3670,47.7600
232.240,114.140,334.590,-47.6250,-0.8260,-2.2910,47.6880
257.960,114.140,334.590,-47.5780,-0.8070,-2.2840,47.6360
283.670,114.140,334.590,-47.5750,-0.8350,-2.2900,47.6400
