X[mm],Y[mm],Z[mm],Bx[mT],By[mT],Bz[mT]
263.33, 160.48, 218.17, -47.515000, -2.029000, -0.061000
272.27, 160.48, 218.17, -47.518000, -2.017000, -0.069000
281.22, 160.48, 218.17, -47.526000, -1.999000, -0.079000
290.17, 160.48, 218.17, -47.526000, -2.001000, -0.074000
299.11, 169.43, 218.17, -47.541000, -1.996000, -0.063000
290.17, 169.43, 218.17, -47.542000, -1.992000, -0.073000
281.22, 169.43, 218.17, -47.532000, -2.001000, -0.063000
272.27, 169.43, 218.17, -47.528000, -2.002000, -0.059000
263.33, 169.43, 218.17, -47.521000, -2.008000, -0.050000
254.38, 169.43, 218.17, -47.515000, -2.015000, -0.064000
245.43, 169.43, 218.17, -47.520000, -2.022000, -0.057000
236.48, 169.43, 218.17, -47.515000, -2.024000, -0.064000
227.54, 169.43, 218.17, -47.518000, -2.027000, -0.060000
218.59, 169.43, 218.17, -47.514000, -2.031000, -0.062000
209.64, 169.43, 218.17, -47.521000, -2.037000, -0.060000
200.69, 169.43, 218.17, -47.529000, -2.043000, -0.068000
191.75, 169.43, 218.17, -47.536000, -2.056000, -0.073000
182.80, 169.43, 218.17, -47.549000, -2.058000, -0.074000
173.85, 178.37, 218.17, -47.556000, -2.046000, -0.070000
182.80, 178.37, 218.17, -47.561000, -2.052000, -0.069000
191.75, 178.37, 218.17, -47.546000, -2.054000, -0.070000
200.69, 178.37, 218.17, -47.533000, -2.048000, -0.059000
209.64, 178.37, 218.17, -47.529000, -2.042000, -0.063000
218.59, 178.37, 218.17, -47.522000, -2.039000, -0.067000
227.54, 178.37, 218.17, -47.519000, -2.037000, -0.063000
236.48, 178.37, 218.17, -47.516000, -2.027000, -0.067000
245.43, 178.37, 218.17, -47.511000, -2.027000, -0.051000
254.38, 178.37, 218.17, -47.518000, -2.022000, -0.049000
263.33, 178.37, 218.17, -47.520000, -2.030000, -0.051000
272.27, 178.37, 218.17, -47.524000, -2.019000, -0.053000
281.22, 178.37, 218.17, -47.526000, -2.013000, -0.046000
290.17, 178.37, 218.17, -47.534000, -2.001000, -0.057000
290.17, 187.32, 218.17, -47.538000, -2.001000, -0.029000
281.22, 187.32, 218.17, -47.530000, -1.999000, -0.032000
272.27, 187.32, 218.17, -47.529000, -2.018000, -0.038000
263.33, 187.32, 218.17, -47.524000, -2.021000, -0.051000
254.38, 187.32, 218.17, -47.515000, -2.019000, -0.049000
245.43, 187.32, 218.17, -47.512000, -2.038000, -0.052000
236.48, 187.32, 218.17, -47.512000, -2.028000, -0.040000
227.54, 187.32, 218.17, -47.508000, -2.024000, -0.056000
218.59, 187.32, 218.17, -47.511000, -2.030000, -0.072000
209.64, 187.32, 218.17, -47.515000, -2.033000, -0.084000
200.69, 187.32, 218.17, -47.523000, -2.039000, -0.076000
191.75, 187.32, 218.17, -47.535000, -2.047000, -0.068000
182.80, 196.27, 218.17, -47.539000, -2.047000, -0.072000
191.75, 196.27, 218.17, -47.544000, -2.048000, -0.076000
200.69, 196.27, 218.17, -47.530000, -2.042000, -0.076000
209.64, 196.27, 218.17, -47.525000, -2.038000, -0.059000
218.59, 196.27, 218.17, -47.513000, -2.036000, -0.061000
227.54, 196.27, 218.17, -47.509000, -2.025000, -0.059000
236.48, 196.27, 218.17, -47.503000, -2.024000, -0.048000
245.43, 196.27, 218.17, -47.504000, -2.019000, -0.035000
254.38, 196.27, 218.17, -47.510000, -2.015000, -0.030000
263.33, 196.27, 218.17, -47.511000, -2.008000, -0.039000
272.27, 196.27, 218.17, -47.519000, -2.014000, -0.026000
281.22, 196.27, 218.17, -47.529000, -2.006000, -0.025000
281.22, 205.22, 218.17, -47.530000, -2.018000, -0.001000
272.27, 205.22, 218.17, -47.525000, -2.006000, -0.014000
263.33, 205.22, 218.17, -47.511000, -2.000000, -0.030000
254.38, 205.22, 218.17, -47.506000, -2.018000, -0.031000
245.43, 205.22, 218.17, -47.501000, -2.018000, -0.036000
236.48, 205.22, 218.17, -47.500000, -2.030000, -0.050000
227.54, 205.22, 218.17, -47.496000, -2.031000, -0.048000
218.59, 205.22, 218.17, -47.502000, -2.031000, -0.060000
209.64, 205.22, 218.17, -47.501000, -2.027000, -0.065000
200.69, 205.22, 218.17, -47.517000, -2.038000, -0.077000
200.69, 214.16, 218.17, -47.513000, -2.037000, -0.081000
209.64, 214.16, 218.17, -47.503000, -2.038000, -0.057000
218.59, 214.16, 218.17, -47.499000, -2.026000, -0.047000
227.54, 214.16, 218.17, -47.490000, -2.028000, -0.052000
236.48, 214.16, 218.17, -47.493000, -2.017000, -0.038000
245.43, 214.16, 218.17, -47.491000, -2.019000, -0.025000
254.38, 214.16, 218.17, -47.493000, -2.003000, -0.020000
263.33, 214.16, 218.17, -47.498000, -2.012000, -0.005000
254.38, 223.11, 218.17, -47.489000, -2.010000, -0.010000
245.43, 223.11, 218.17, -47.484000, -2.016000, -0.018000
236.48, 223.11, 218.17, -47.479000, -2.014000, -0.036000
227.54, 223.11, 218.17, -47.486000, -2.011000, -0.054000
254.38, 241.01, 227.12, -47.470000, -1.998000, -0.012000
245.43, 241.01, 227.12, -47.465000, -2.012000, -0.021000
236.48, 241.01, 227.12, -47.467000, -2.015000, -0.034000
227.54, 241.01, 227.12, -47.467000, -2.021000, -0.048000
200.69, 232.06, 227.12, -47.487000, -2.024000, -0.077000
209.64, 232.06, 227.12, -47.488000, -2.029000, -0.070000
218.59, 232.06, 227.12, -47.481000, -2.023000, -0.050000
227.54, 232.06, 227.12, -47.478000, -2.015000, -0.040000
236.48, 232.06, 227.12, -47.476000, -2.014000, -0.043000
245.43, 232.06, 227.12, -47.478000, -2.008000, -0.031000
254.38, 232.06, 227.12, -47.481000, -2.013000, -0.013000
263.33, 232.06, 227.12, -47.481000, -2.004000, 0.004000
281.22, 223.11, 227.12, -47.503000, -1.999000, 0.013000
272.27, 223.11, 227.12, -47.506000, -1.994000, 0.000000
263.33, 223.11, 227.12, -47.500000, -1.999000, -0.014000
254.38, 223.11, 227.12, -47.494000, -1.999000, -0.020000
245.43, 223.11, 227.12, -47.488000, -2.013000, -0.037000
236.48, 223.11, 227.12, -47.488000, -2.015000, -0.039000
227.54, 223.11, 227.12, -47.484000, -2.018000, -0.052000
218.59, 223.11, 227.12, -47.496000, -2.019000, -0.073000
209.64, 223.11, 227.12, -47.500000, -2.029000, -0.071000
200.69, 223.11, 227.12, -47.501000, -2.031000, -0.085000
182.80, 214.16, 227.12, -47.526000, -2.042000, -0.090000
191.75, 214.16, 227.12, -47.533000, -2.043000, -0.082000
200.69, 214.16, 227.12, -47.523000, -2.029000, -0.081000
209.64, 214.16, 227.12, -47.510000, -2.038000, -0.067000
218.59, 214.16, 227.12, -47.503000, -2.037000, -0.054000
227.54, 214.16, 227.12, -47.501000, -2.012000, -0.051000
236.48, 214.16, 227.12, -47.496000, -2.021000, -0.052000
245.43, 214.16, 227.12, -47.497000, -2.016000, -0.032000
254.38, 214.16, 227.12, -47.497000, -2.015000, -0.023000
263.33, 214.16, 227.12, -47.503000, -2.008000, -0.008000
272.27, 214.16, 227.12, -47.508000, -2.005000, -0.005000
281.22, 214.16, 227.12, -47.521000, -2.002000, 0.007000
299.11, 205.22, 227.12, -47.544000, -2.001000, 0.004000
290.17, 205.22, 227.12, -47.550000, -2.002000, -0.005000
281.22, 205.22, 227.12, -47.539000, -2.011000, -0.016000
272.27, 205.22, 227.12, -47.529000, -2.007000, -0.017000
263.33, 205.22, 227.12, -47.517000, -2.013000, -0.025000
254.38, 205.22, 227.12, -47.511000, -2.016000, -0.040000
245.43, 205.22, 227.12, -47.506000, -2.012000, -0.045000
236.48, 205.22, 227.12, -47.506000, -2.012000, -0.050000
227.54, 205.22, 227.12, -47.505000, -2.023000, -0.050000
218.59, 205.22, 227.12, -47.511000, -2.028000, -0.057000
209.64, 205.22, 227.12, -47.515000, -2.028000, -0.069000
200.69, 205.22, 227.12, -47.519000, -2.030000, -0.080000
191.75, 205.22, 227.12, -47.527000, -2.047000, -0.081000
182.80, 205.22, 227.12, -47.543000, -2.039000, -0.090000
173.85, 196.27, 227.12, -47.557000, -2.048000, -0.096000
182.80, 196.27, 227.12, -47.562000, -2.043000, -0.083000
191.75, 196.27, 227.12, -47.548000, -2.035000, -0.079000
200.69, 196.27, 227.12, -47.541000, -2.042000, -0.081000
209.64, 196.27, 227.12, -47.527000, -2.038000, -0.069000
218.59, 196.27, 227.12, -47.523000, -2.029000, -0.058000
227.54, 196.27, 227.12, -47.516000, -2.027000, -0.051000
236.48, 196.27, 227.12, -47.511000, -2.025000, -0.050000
245.43, 196.27, 227.12, -47.509000, -2.027000, -0.048000
254.38, 196.27, 227.12, -47.515000, -2.019000, -0.043000
263.33, 196.27, 227.12, -47.518000, -2.015000, -0.041000
272.27, 196.27, 227.12, -47.522000, -2.014000, -0.032000
281.22, 196.27, 227.12, -47.534000, -2.006000, -0.036000
290.17, 196.27, 227.12, -47.543000, -2.002000, -0.027000
308.06, 187.32, 227.12, -47.567000, -1.991000, -0.045000
299.11, 187.32, 227.12, -47.571000, -1.995000, -0.050000
290.17, 187.32, 227.12, -47.555000, -2.001000, -0.040000
281.22, 187.32, 227.12, -47.546000, -2.012000, -0.034000
272.27, 187.32, 227.12, -47.533000, -2.003000, -0.041000
263.33, 187.32, 227.12, -47.523000, -2.019000, -0.045000
254.38, 187.32, 227.12, -47.523000, -2.022000, -0.050000
245.43, 187.32, 227.12, -47.518000, -2.023000, -0.058000
236.48, 187.32, 227.12, -47.514000, -2.022000, -0.057000
227.54, 187.32, 227.12, -47.518000, -2.021000, -0.063000
218.59, 187.32, 227.12, -47.518000, -2.021000, -0.074000
209.64, 187.32, 227.12, -47.521000, -2.036000, -0.076000
200.69, 187.32, 227.12, -47.524000, -2.037000, -0.075000
191.75, 187.32, 227.12, -47.536000, -2.036000, -0.085000
182.80, 187.32, 227.12, -47.549000, -2.050000, -0.080000
173.85, 187.32, 227.12, -47.560000, -2.043000, -0.087000
164.90, 178.37, 227.12, -47.576000, -2.054000, -0.088000
173.85, 178.37, 227.12, -47.576000, -2.052000, -0.079000
182.80, 178.37, 227.12, -47.568000, -2.045000, -0.077000
191.75, 178.37, 227.12, -47.550000, -2.047000, -0.072000
200.69, 178.37, 227.12, -47.542000, -2.045000, -0.075000
209.64, 178.37, 227.12, -47.535000, -2.038000, -0.069000
218.59, 178.37, 227.12, -47.532000, -2.035000, -0.063000
227.54, 178.37, 227.12, -47.525000, -2.026000, -0.061000
