# COSI2 B0 scan
# time 2024-05-22 18:55:30.362520
# MAGNET CENTER IN LAB: x 241.700 mm, y 131.100 mm, z 273.800 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240522/path_no_magnet_80mm_8pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
257.700,72.430,225.800,-47.4880,-0.8450,1.9660,47.5360
247.030,72.430,225.800,-47.4860,-0.8570,1.9710,47.5340
236.370,72.430,225.800,-47.4840,-0.8680,1.9840,47.5340
204.370,83.100,225.800,-47.4830,-0.8760,1.9900,47.5320
215.030,83.100,225.800,-47.5080,-0.8940,2.0040,47.5600
225.700,83.100,225.800,-47.5000,-0.8880,2.0020,47.5540
236.370,83.100,225.800,-47.4990,-0.8770,1.9950,47.5500
247.030,83.100,225.800,-47.4970,-0.8730,1.9860,47.5470
257.700,83.100,225.800,-47.4980,-0.8670,1.9770,47.5470
268.370,83.100,225.800,-47.4960,-0.8560,1.9720,47.5450
279.030,83.100,225.800,-47.4960,-0.8500,1.9660,47.5440
300.370,93.770,225.800,-47.5030,-0.8410,1.9600,47.5510
289.700,93.770,225.800,-47.5340,-0.8260,1.9580,47.5810
279.030,93.770,225.800,-47.5230,-0.8360,1.9610,47.5680
268.370,93.770,225.800,-47.5110,-0.8460,1.9730,47.5630
257.700,93.770,225.800,-47.5020,-0.8530,1.9790,47.5520
247.030,93.770,225.800,-47.5010,-0.8610,1.9870,47.5490
236.370,93.770,225.800,-47.5030,-0.8640,1.9900,47.5520
225.700,93.770,225.800,-47.5060,-0.8700,1.9940,47.5540
215.030,93.770,225.800,-47.5020,-0.8740,2.0050,47.5530
204.370,93.770,225.800,-47.5120,-0.8840,2.0060,47.5630
193.700,104.430,225.800,-47.5170,-0.8810,2.0080,47.5670
204.370,104.430,225.800,-47.5300,-0.8850,2.0130,47.5780
215.030,104.430,225.800,-47.5220,-0.8840,2.0090,47.5740
225.700,104.430,225.800,-47.5140,-0.8800,2.0040,47.5680
236.370,104.430,225.800,-47.5070,-0.8740,2.0000,47.5580
247.030,104.430,225.800,-47.5020,-0.8690,1.9880,47.5540
257.700,104.430,225.800,-47.5080,-0.8620,1.9960,47.5530
268.370,104.430,225.800,-47.5060,-0.8600,1.9870,47.5560
279.030,104.430,225.800,-47.5100,-0.8510,1.9860,47.5600
289.700,104.430,225.800,-47.5140,-0.8500,1.9790,47.5630
311.030,115.100,225.800,-47.5240,-0.8380,1.9750,47.5730
300.370,115.100,225.800,-47.5500,-0.8130,1.9720,47.5970
289.700,115.100,225.800,-47.5400,-0.8250,1.9830,47.5900
279.030,115.100,225.800,-47.5330,-0.8350,1.9840,47.5850
268.370,115.100,225.800,-47.5240,-0.8350,1.9890,47.5780
257.700,115.100,225.800,-47.5150,-0.8430,1.9990,47.5630
247.030,115.100,225.800,-47.5100,-0.8560,2.0000,47.5630
236.370,115.100,225.800,-47.5030,-0.8570,1.9990,47.5540
225.700,115.100,225.800,-47.5100,-0.8620,2.0040,47.5610
215.030,115.100,225.800,-47.5100,-0.8770,2.0010,47.5590
204.370,115.100,225.800,-47.5190,-0.8700,2.0090,47.5680
193.700,115.100,225.800,-47.5240,-0.8820,2.0090,47.5750
183.030,125.770,225.800,-47.5330,-0.8830,2.0100,47.5840
193.700,125.770,225.800,-47.5470,-0.8830,2.0120,47.5970
204.370,125.770,225.800,-47.5370,-0.8770,2.0100,47.5840
215.030,125.770,225.800,-47.5250,-0.8790,2.0110,47.5760
225.700,125.770,225.800,-47.5170,-0.8690,2.0040,47.5640
236.370,125.770,225.800,-47.5150,-0.8700,2.0020,47.5660
247.030,125.770,225.800,-47.5130,-0.8630,2.0060,47.5610
257.700,125.770,225.800,-47.5110,-0.8600,2.0030,47.5610
268.370,125.770,225.800,-47.5120,-0.8530,1.9980,47.5640
279.030,125.770,225.800,-47.5200,-0.8480,1.9990,47.5690
289.700,125.770,225.800,-47.5280,-0.8410,1.9940,47.5760
300.370,125.770,225.800,-47.5350,-0.8310,1.9910,47.5840
