# COSI2 B0 scan,,,,,,
# time 2024-05-23 10:02:34.516565,,,,,,
# MAGNET CENTER IN LAB: x 241.700 mm, y 131.100 mm, z 273.800 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240522/path_with_magnet_80mm_8pts,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
247.03,115.1,225.8,-47.641,-0.936,1.989,47.688
236.37,115.1,225.8,-47.65,-0.938,1.993,47.701
225.7,115.1,225.8,-47.653,-0.954,1.99,47.702
215.03,115.1,225.8,-47.665,-0.962,1.989,47.714
204.37,115.1,225.8,-47.669,-0.98,1.984,47.725
193.7,115.1,225.8,-47.693,-1,1.983,47.739
183.03,125.77,225.8,-47.693,-1.006,1.972,47.744
193.7,125.77,225.8,-47.683,-0.992,1.976,47.735
204.37,125.77,225.8,-47.671,-0.977,1.975,47.723
215.03,125.77,225.8,-47.661,-0.961,1.984,47.713
225.7,125.77,225.8,-47.654,-0.949,1.978,47.704
236.37,125.77,225.8,-47.639,-0.932,1.985,47.691
247.03,125.77,225.8,-47.636,-0.924,1.993,47.689
257.7,125.77,225.8,-47.637,-0.908,1.991,47.684
268.37,125.77,225.8,-47.641,-0.898,1.99,47.688
279.03,125.77,225.8,-47.64,-0.895,1.997,47.689
289.7,125.77,225.8,-47.637,-0.873,1.994,47.693
300.37,125.77,225.8,-47.65,-0.867,1.988,47.699
311.03,136.43,225.8,-47.661,-0.854,1.997,47.709
300.37,136.43,225.8,-47.644,-0.863,2.004,47.694
289.7,136.43,225.8,-47.644,-0.877,2.007,47.692
279.03,136.43,225.8,-47.642,-0.888,2.005,47.688
268.37,136.43,225.8,-47.636,-0.899,2.003,47.684
257.7,136.43,225.8,-47.634,-0.908,1.994,47.684
247.03,136.43,225.8,-47.636,-0.912,1.991,47.687
236.37,136.43,225.8,-47.644,-0.93,1.985,47.698
225.7,136.43,225.8,-47.645,-0.939,1.984,47.699
215.03,136.43,225.8,-47.655,-0.952,1.977,47.705
204.37,136.43,225.8,-47.662,-0.965,1.974,47.713
193.7,136.43,225.8,-47.678,-0.975,1.968,47.733
183.03,147.1,225.8,-47.685,-0.983,1.951,47.732
193.7,147.1,225.8,-47.674,-0.969,1.951,47.721
204.37,147.1,225.8,-47.658,-0.957,1.962,47.708
215.03,147.1,225.8,-47.648,-0.942,1.967,47.701
225.7,147.1,225.8,-47.64,-0.932,1.982,47.691
236.37,147.1,225.8,-47.633,-0.922,1.988,47.68
247.03,147.1,225.8,-47.63,-0.914,1.992,47.681
257.7,147.1,225.8,-47.627,-0.908,2.003,47.681
268.37,147.1,225.8,-47.632,-0.891,2.01,47.683
279.03,147.1,225.8,-47.635,-0.881,2.001,47.685
289.7,147.1,225.8,-47.637,-0.871,2.012,47.688
300.37,147.1,225.8,-47.647,-0.866,2.013,47.699
300.37,157.77,225.8,-47.643,-0.858,2.032,47.694
289.7,157.77,225.8,-47.639,-0.874,2.025,47.687
279.03,157.77,225.8,-47.623,-0.883,2.025,47.677
268.37,157.77,225.8,-47.628,-0.889,2.015,47.679
257.7,157.77,225.8,-47.62,-0.9,2.006,47.673
247.03,157.77,225.8,-47.62,-0.909,1.999,47.673
236.37,157.77,225.8,-47.624,-0.919,1.991,47.677
225.7,157.77,225.8,-47.637,-0.93,1.982,47.685
215.03,157.77,225.8,-47.644,-0.939,1.976,47.695
204.37,157.77,225.8,-47.655,-0.948,1.964,47.702
193.7,168.43,225.8,-47.654,-0.955,1.948,47.704
204.37,168.43,225.8,-47.643,-0.938,1.957,47.69
215.03,168.43,225.8,-47.631,-0.931,1.969,47.681
225.7,168.43,225.8,-47.624,-0.916,1.982,47.674
236.37,168.43,225.8,-47.62,-0.913,1.993,47.671
247.03,168.43,225.8,-47.609,-0.901,1.998,47.66
257.7,168.43,225.8,-47.613,-0.892,2.015,47.661
268.37,168.43,225.8,-47.619,-0.883,2.018,47.67
279.03,168.43,225.8,-47.62,-0.876,2.027,47.67
289.7,168.43,225.8,-47.627,-0.863,2.037,47.678
289.7,179.1,225.8,-47.619,-0.866,2.055,47.673
279.03,179.1,225.8,-47.612,-0.871,2.046,47.664
268.37,179.1,225.8,-47.607,-0.887,2.032,47.657
257.7,179.1,225.8,-47.595,-0.889,2.014,47.643
247.03,179.1,225.8,-47.6,-0.898,2.005,47.654
236.37,179.1,225.8,-47.61,-0.903,1.993,47.657
225.7,179.1,225.8,-47.609,-0.908,1.977,47.661
215.03,179.1,225.8,-47.618,-0.922,1.972,47.672
225.7,189.77,225.8,-47.595,-0.915,1.983,47.646
236.37,189.77,225.8,-47.59,-0.9,1.998,47.641
247.03,189.77,225.8,-47.585,-0.892,2.007,47.638
257.7,189.77,225.8,-47.588,-0.888,2.017,47.639
236.37,211.1,236.47,-47.572,-0.893,1.98,47.622
247.03,211.1,236.47,-47.564,-0.888,2,47.615
289.7,200.43,236.47,-47.597,-0.858,2.068,47.653
279.03,200.43,236.47,-47.588,-0.865,2.05,47.64
268.37,200.43,236.47,-47.583,-0.875,2.033,47.637
257.7,200.43,236.47,-47.589,-0.882,2.016,47.64
247.03,200.43,236.47,-47.586,-0.885,2,47.637
236.37,200.43,236.47,-47.59,-0.897,1.989,47.638
225.7,200.43,236.47,-47.595,-0.899,1.976,47.643
215.03,200.43,236.47,-47.602,-0.906,1.955,47.648
193.7,189.77,236.47,-47.639,-0.932,1.926,47.687
204.37,189.77,236.47,-47.625,-0.924,1.943,47.675
215.03,189.77,236.47,-47.62,-0.91,1.957,47.669
225.7,189.77,236.47,-47.606,-0.909,1.971,47.655
236.37,189.77,236.47,-47.601,-0.896,1.986,47.651
247.03,189.77,236.47,-47.595,-0.886,2.003,47.645
257.7,189.77,236.47,-47.591,-0.884,2.009,47.645
268.37,189.77,236.47,-47.593,-0.876,2.031,47.647
279.03,189.77,236.47,-47.607,-0.87,2.045,47.661
289.7,189.77,236.47,-47.618,-0.86,2.062,47.67
311.03,179.1,236.47,-47.658,-0.847,2.076,47.71
300.37,179.1,236.47,-47.644,-0.86,2.07,47.695
289.7,179.1,236.47,-47.631,-0.862,2.046,47.681
279.03,179.1,236.47,-47.618,-0.871,2.037,47.669
268.37,179.1,236.47,-47.61,-0.879,2.025,47.663
257.7,179.1,236.47,-47.608,-0.886,2.013,47.66
247.03,179.1,236.47,-47.613,-0.897,1.996,47.663
236.37,179.1,236.47,-47.612,-0.902,1.985,47.661
225.7,179.1,236.47,-47.622,-0.907,1.969,47.674
215.03,179.1,236.47,-47.632,-0.916,1.958,47.679
204.37,179.1,236.47,-47.647,-0.936,1.945,47.696
193.7,179.1,236.47,-47.657,-0.939,1.932,47.703
183.03,168.43,236.47,-47.684,-0.964,1.93,47.73
193.7,168.43,236.47,-47.666,-0.951,1.936,47.715
204.37,168.43,236.47,-47.649,-0.94,1.942,47.698
215.03,168.43,236.47,-47.638,-0.929,1.956,47.688
225.7,168.43,236.47,-47.632,-0.918,1.965,47.686
236.37,168.43,236.47,-47.626,-0.906,1.984,47.676
247.03,168.43,236.47,-47.627,-0.898,1.986,47.678
257.7,168.43,236.47,-47.626,-0.89,2.004,47.675
268.37,168.43,236.47,-47.624,-0.883,2.015,47.674
279.03,168.43,236.47,-47.633,-0.871,2.025,47.684
289.7,168.43,236.47,-47.64,-0.865,2.033,47.689
300.37,168.43,236.47,-47.651,-0.86,2.04,47.702
311.03,157.77,236.47,-47.668,-0.849,2.026,47.718
300.37,157.77,236.47,-47.657,-0.86,2.029,47.706
289.7,157.77,236.47,-47.646,-0.867,2.02,47.697
279.03,157.77,236.47,-47.639,-0.88,2.015,47.691
268.37,157.77,236.47,-47.63,-0.887,2.01,47.686
257.7,157.77,236.47,-47.636,-0.896,2,47.686
247.03,157.77,236.47,-47.635,-0.904,1.991,47.685
236.37,157.77,236.47,-47.638,-0.913,1.981,47.689
225.7,157.77,236.47,-47.641,-0.916,1.969,47.694
215.03,157.77,236.47,-47.655,-0.93,1.967,47.704
204.37,157.77,236.47,-47.659,-0.947,1.951,47.711
193.7,157.77,236.47,-47.679,-0.955,1.944,47.728
172.37,147.1,236.47,-47.712,-0.991,1.934,47.763
183.03,147.1,236.47,-47.697,-0.981,1.943,47.747
193.7,147.1,236.47,-47.683,-0.964,1.943,47.732
204.37,147.1,236.47,-47.674,-0.952,1.955,47.719
215.03,147.1,236.47,-47.66,-0.945,1.964,47.71
225.7,147.1,236.47,-47.649,-0.928,1.972,47.701
236.37,147.1,236.47,-47.647,-0.919,1.973,47.699
247.03,147.1,236.47,-47.642,-0.912,1.987,47.691
257.7,147.1,236.47,-47.64,-0.901,1.994,47.693
268.37,147.1,236.47,-47.645,-0.887,1.998,47.696
279.03,147.1,236.47,-47.649,-0.877,2.006,47.701
289.7,147.1,236.47,-47.645,-0.87,2.004,47.697
300.37,147.1,236.47,-47.659,-0.855,2.011,47.713
311.03,147.1,236.47,-47.676,-0.852,2.012,47.726
321.7,136.43,236.47,-47.683,-0.84,1.997,47.732
311.03,136.43,236.47,-47.673,-0.851,2.003,47.716
300.37,136.43,236.47,-47.664,-0.859,2.004,47.714
289.7,136.43,236.47,-47.657,-0.87,1.999,47.703
279.03,136.43,236.47,-47.647,-0.879,1.996,47.696
268.37,136.43,236.47,-47.644,-0.894,1.993,47.694
257.7,136.43,236.47,-47.645,-0.903,1.993,47.693
247.03,136.43,236.47,-47.647,-0.91,1.987,47.701
236.37,136.43,236.47,-47.65,-0.926,1.982,47.7
225.7,136.43,236.47,-47.659,-0.93,1.971,47.709
215.03,136.43,236.47,-47.669,-0.948,1.969,47.718
204.37,136.43,236.47,-47.681,-0.956,1.963,47.731
193.7,136.43,236.47,-47.692,-0.973,1.952,47.747
183.03,136.43,236.47,-47.708,-0.989,1.947,47.759
183.03,125.77,236.47,-47.706,-0.998,1.948,47.758
193.7,125.77,236.47,-47.701,-0.982,1.966,47.752
204.37,125.77,236.47,-47.683,-0.965,1.962,47.732
215.03,125.77,236.47,-47.671,-0.957,1.972,47.721
225.7,125.77,236.47,-47.668,-0.94,1.975,47.718
236.37,125.77,236.47,-47.656,-0.937,1.982,47.707
247.03,125.77,236.47,-47.649,-0.918,1.983,47.698
257.7,125.77,236.47,-47.654,-0.906,1.986,47.701
268.37,125.77,236.47,-47.648,-0.901,1.985,47.698
279.03,125.77,236.47,-47.654,-0.882,1.984,47.701
289.7,125.77,236.47,-47.654,-0.878,1.988,47.701
300.37,125.77,236.47,-47.659,-0.861,1.984,47.709
311.03,115.1,236.47,-47.664,-0.849,1.976,47.712
300.37,115.1,236.47,-47.659,-0.86,1.981,47.708
289.7,115.1,236.47,-47.656,-0.874,1.986,47.706
279.03,115.1,236.47,-47.65,-0.889,1.984,47.699
268.37,115.1,236.47,-47.649,-0.896,1.983,47.702
257.7,115.1,236.47,-47.655,-0.911,1.981,47.706
247.03,115.1,236.47,-47.65,-0.925,1.985,47.701
236.37,115.1,236.47,-47.661,-0.935,1.982,47.714
225.7,115.1,236.47,-47.664,-0.946,1.984,47.719
215.03,115.1,236.47,-47.669,-0.955,1.978,47.722
204.37,115.1,236.47,-47.684,-0.972,1.973,47.735
193.7,115.1,236.47,-47.699,-0.988,1.966,47.745
183.03,104.43,236.47,-47.722,-1.021,1.976,47.772
193.7,104.43,236.47,-47.704,-1.002,1.979,47.755
204.37,104.43,236.47,-47.689,-0.986,1.981,47.74
215.03,104.43,236.47,-47.676,-0.973,1.977,47.729
225.7,104.43,236.47,-47.669,-0.955,1.986,47.72
236.37,104.43,236.47,-47.663,-0.942,1.984,47.715
247.03,104.43,236.47,-47.652,-0.93,1.981,47.705
257.7,104.43,236.47,-47.647,-0.919,1.978,47.694
268.37,104.43,236.47,-47.645,-0.904,1.985,47.695
279.03,104.43,236.47,-47.647,-0.89,1.978,47.694
289.7,104.43,236.47,-47.646,-0.881,1.977,47.701
300.37,104.43,236.47,-47.653,-0.862,1.974,47.702
300.37,93.77,236.47,-47.654,-0.868,1.97,47.703
289.7,93.77,236.47,-47.649,-0.884,1.971,47.697
279.03,93.77,236.47,-47.641,-0.895,1.979,47.693
