# COSI2 B0 scan
# time 2024-05-23 10:02:34.516565
# MAGNET CENTER IN LAB: x 241.700 mm, y 131.100 mm, z 273.800 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240522/path_with_magnet_80mm_8pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
257.700,136.430,225.800,-47.6360,-0.8990,2.0030,47.6840
247.030,136.430,225.800,-47.6340,-0.9080,1.9940,47.6840
236.370,136.430,225.800,-47.6360,-0.9120,1.9910,47.6870
225.700,136.430,225.800,-47.6440,-0.9300,1.9850,47.6980
215.030,136.430,225.800,-47.6450,-0.9390,1.9840,47.6990
204.370,136.430,225.800,-47.6550,-0.9520,1.9770,47.7050
193.700,136.430,225.800,-47.6620,-0.9650,1.9740,47.7130
183.030,147.100,225.800,-47.6780,-0.9750,1.9680,47.7330
193.700,147.100,225.800,-47.6850,-0.9830,1.9510,47.7320
204.370,147.100,225.800,-47.6740,-0.9690,1.9510,47.7210
215.030,147.100,225.800,-47.6580,-0.9570,1.9620,47.7080
225.700,147.100,225.800,-47.6480,-0.9420,1.9670,47.7010
236.370,147.100,225.800,-47.6400,-0.9320,1.9820,47.6910
247.030,147.100,225.800,-47.6330,-0.9220,1.9880,47.6800
257.700,147.100,225.800,-47.6300,-0.9140,1.9920,47.6810
268.370,147.100,225.800,-47.6270,-0.9080,2.0030,47.6810
279.030,147.100,225.800,-47.6320,-0.8910,2.0100,47.6830
289.700,147.100,225.800,-47.6350,-0.8810,2.0010,47.6850
300.370,147.100,225.800,-47.6370,-0.8710,2.0120,47.6880
300.370,157.770,225.800,-47.6470,-0.8660,2.0130,47.6990
289.700,157.770,225.800,-47.6430,-0.8580,2.0320,47.6940
279.030,157.770,225.800,-47.6390,-0.8740,2.0250,47.6870
268.370,157.770,225.800,-47.6230,-0.8830,2.0250,47.6770
257.700,157.770,225.800,-47.6280,-0.8890,2.0150,47.6790
247.030,157.770,225.800,-47.6200,-0.9000,2.0060,47.6730
236.370,157.770,225.800,-47.6200,-0.9090,1.9990,47.6730
225.700,157.770,225.800,-47.6240,-0.9190,1.9910,47.6770
215.030,157.770,225.800,-47.6370,-0.9300,1.9820,47.6850
204.370,157.770,225.800,-47.6440,-0.9390,1.9760,47.6950
193.700,168.430,225.800,-47.6550,-0.9480,1.9640,47.7020
204.370,168.430,225.800,-47.6540,-0.9550,1.9480,47.7040
215.030,168.430,225.800,-47.6430,-0.9380,1.9570,47.6900
225.700,168.430,225.800,-47.6310,-0.9310,1.9690,47.6810
236.370,168.430,225.800,-47.6240,-0.9160,1.9820,47.6740
247.030,168.430,225.800,-47.6200,-0.9130,1.9930,47.6710
