# COSI2 B0 scan
# time 2024-05-24 16:38:32.224152
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240524/slow_ball_90mm
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
306.680,112.790,208.720,-47.4940,-0.7860,-1.2070,47.5130
297.210,112.790,208.720,-47.5030,-0.7730,-1.2120,47.5250
287.730,112.790,208.720,-47.4960,-0.7890,-1.2030,47.5180
278.260,112.790,208.720,-47.4960,-0.7990,-1.1960,47.5220
268.780,112.790,208.720,-47.4820,-0.8060,-1.1910,47.5040
259.310,112.790,208.720,-47.4870,-0.8120,-1.1890,47.5090
249.840,112.790,208.720,-47.4820,-0.8190,-1.1810,47.5030
240.360,112.790,208.720,-47.4830,-0.8260,-1.1810,47.5060
230.890,112.790,208.720,-47.4850,-0.8300,-1.1820,47.5020
221.420,112.790,208.720,-47.4860,-0.8340,-1.1720,47.5080
211.940,112.790,208.720,-47.4970,-0.8380,-1.1750,47.5180
202.470,112.790,208.720,-47.5010,-0.8480,-1.1730,47.5200
192.990,112.790,208.720,-47.5090,-0.8490,-1.1730,47.5260
183.520,122.260,208.720,-47.5250,-0.8520,-1.1710,47.5470
192.990,122.260,208.720,-47.5310,-0.8570,-1.1780,47.5530
202.470,122.260,208.720,-47.5290,-0.8530,-1.1850,47.5520
211.940,122.260,208.720,-47.5190,-0.8520,-1.1730,47.5440
221.420,122.260,208.720,-47.5070,-0.8430,-1.1770,47.5290
230.890,122.260,208.720,-47.4950,-0.8390,-1.1800,47.5180
240.360,122.260,208.720,-47.4870,-0.8370,-1.1780,47.5100
249.840,122.260,208.720,-47.4860,-0.8340,-1.1750,47.5120
259.310,122.260,208.720,-47.4820,-0.8290,-1.1780,47.5030
268.780,122.260,208.720,-47.4830,-0.8210,-1.1810,47.5070
278.260,122.260,208.720,-47.4840,-0.8170,-1.1860,47.5040
287.730,122.260,208.720,-47.4830,-0.8070,-1.1810,47.5080
297.210,122.260,208.720,-47.4930,-0.7930,-1.1840,47.5120
306.680,122.260,208.720,-47.5000,-0.7980,-1.1920,47.5200
316.150,131.740,208.720,-47.5040,-0.7860,-1.1970,47.5240
306.680,131.740,208.720,-47.5140,-0.7870,-1.2000,47.5360
297.210,131.740,208.720,-47.5120,-0.7830,-1.1850,47.5350
287.730,131.740,208.720,-47.5060,-0.7930,-1.1790,47.5280
278.260,131.740,208.720,-47.4950,-0.7960,-1.1730,47.5190
268.780,131.740,208.720,-47.4950,-0.8110,-1.1710,47.5160
259.310,131.740,208.720,-47.4860,-0.8090,-1.1710,47.5090
249.840,131.740,208.720,-47.4830,-0.8180,-1.1770,47.5040
240.360,131.740,208.720,-47.4870,-0.8200,-1.1770,47.5080
230.890,131.740,208.720,-47.4840,-0.8280,-1.1740,47.5060
221.420,131.740,208.720,-47.4880,-0.8280,-1.1780,47.5100
211.940,131.740,208.720,-47.4960,-0.8300,-1.1770,47.5180
202.470,131.740,208.720,-47.5010,-0.8380,-1.1750,47.5250
192.990,131.740,208.720,-47.5100,-0.8450,-1.1770,47.5320
183.520,141.210,208.720,-47.5230,-0.8490,-1.1780,47.5390
192.990,141.210,208.720,-47.5280,-0.8510,-1.1820,47.5530
202.470,141.210,208.720,-47.5270,-0.8490,-1.1860,47.5520
211.940,141.210,208.720,-47.5170,-0.8470,-1.1880,47.5420
221.420,141.210,208.720,-47.5080,-0.8380,-1.1810,47.5280
230.890,141.210,208.720,-47.4960,-0.8380,-1.1840,47.5180
240.360,141.210,208.720,-47.4930,-0.8350,-1.1780,47.5160
249.840,141.210,208.720,-47.4870,-0.8260,-1.1730,47.5070
259.310,141.210,208.720,-47.4840,-0.8240,-1.1670,47.5060
268.780,141.210,208.720,-47.4820,-0.8220,-1.1720,47.5080
278.260,141.210,208.720,-47.4860,-0.8140,-1.1710,47.5070
287.730,141.210,208.720,-47.4870,-0.8110,-1.1660,47.5070
