# COSI2 B0 scan
# time 2024-05-24 16:00:35.244420
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240524/quick_ball_no_magnet
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
316.530,198.430,341.730,-47.4920,-0.7870,-1.1180,47.5160
287.960,198.430,341.730,-47.4740,-0.7740,-1.1700,47.4940
259.390,198.430,341.730,-47.6190,-0.7280,-0.9720,47.6240
230.810,198.430,341.730,-47.5460,-0.7490,-1.0120,47.5660
202.240,169.860,341.730,-47.4860,-0.7670,-1.0960,47.5070
230.810,169.860,341.730,-47.4610,-0.7540,-1.1570,47.4830
259.390,169.860,341.730,-47.4860,-0.7270,-1.2380,47.5080
287.960,169.860,341.730,-47.4970,-0.7460,-1.2280,47.5190
316.530,141.290,341.730,-47.5260,-0.7580,-1.2000,47.5430
287.960,141.290,341.730,-47.5640,-0.7540,-1.1670,47.5830
259.390,141.290,341.730,-47.6330,-0.7680,-1.2260,47.6570
230.810,141.290,341.730,-47.6000,-0.7690,-1.2410,47.6240
202.240,112.710,341.730,-47.5540,-0.7800,-1.2480,47.5810
230.810,112.710,341.730,-47.5240,-0.7720,-1.2640,47.5470
259.390,112.710,341.730,-47.5110,-0.7750,-1.2840,47.5360
287.960,112.710,341.730,-47.5200,-0.8040,-1.2900,47.5420
