# COSI2 B0 scan
# time 2024-05-27 11:31:47.630159
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240524/ball_small_magnet_x-y+z-_3s_delay
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
215.100,217.000,260.300,-47.5420,-0.8120,-2.1570,47.5950
235.100,217.000,260.300,-47.5370,-0.7990,-2.1400,47.5920
255.100,217.000,260.300,-47.5330,-0.7810,-2.1140,47.5850
275.100,217.000,260.300,-47.5490,-0.7500,-2.0750,47.6000
295.100,217.000,260.300,-47.5690,-0.7010,-2.0350,47.6180
335.100,197.000,260.300,-47.5800,-0.6180,-1.9930,47.6250
315.100,197.000,260.300,-47.5210,-0.3690,-1.9540,47.5730
295.100,197.000,260.300,-47.5890,-0.4410,-2.0190,47.6340
275.100,197.000,260.300,-47.6240,-0.5740,-2.0660,47.6720
255.100,197.000,260.300,-47.6070,-0.6770,-2.0890,47.6610
235.100,197.000,260.300,-47.5830,-0.7380,-2.1150,47.6360
215.100,197.000,260.300,-47.5670,-0.7800,-2.1340,47.6210
195.100,197.000,260.300,-47.5570,-0.8000,-2.1550,47.6120
175.100,177.000,260.300,-47.5660,-0.8060,-2.1800,47.6230
195.100,177.000,260.300,-47.6180,-0.8220,-2.2060,47.6780
215.100,177.000,260.300,-47.5890,-0.8110,-2.1880,47.6440
235.100,177.000,260.300,-47.5770,-0.8000,-2.1730,47.6330
255.100,177.000,260.300,-47.5800,-0.7760,-2.1620,47.6350
275.100,177.000,260.300,-47.5970,-0.7420,-2.1610,47.6520
295.100,177.000,260.300,-47.6150,-0.6830,-2.1540,47.6730
315.100,177.000,260.300,-47.6250,-0.5870,-2.1640,47.6760
335.100,157.000,260.300,-47.6110,-0.4660,-2.1600,47.6600
315.100,157.000,260.300,-47.5020,-0.5220,-2.2550,47.5590
295.100,157.000,260.300,-47.5820,-0.5660,-2.2540,47.6360
275.100,157.000,260.300,-47.6100,-0.6370,-2.2330,47.6650
255.100,157.000,260.300,-47.6020,-0.7110,-2.2090,47.6620
235.100,157.000,260.300,-47.5910,-0.7510,-2.1920,47.6470
215.100,157.000,260.300,-47.5840,-0.7870,-2.1860,47.6390
195.100,157.000,260.300,-47.5890,-0.8000,-2.1830,47.6470
175.100,137.000,260.300,-47.5980,-0.8130,-2.1880,47.6550
195.100,137.000,260.300,-47.6090,-0.8350,-2.1910,47.6690
215.100,137.000,260.300,-47.6000,-0.8280,-2.1910,47.6550
235.100,137.000,260.300,-47.5780,-0.8160,-2.1940,47.6330
255.100,137.000,260.300,-47.5760,-0.7990,-2.1980,47.6330
275.100,137.000,260.300,-47.5760,-0.7750,-2.2170,47.6330
295.100,137.000,260.300,-47.5790,-0.7460,-2.2340,47.6360
315.100,137.000,260.300,-47.5720,-0.7000,-2.2610,47.6300
335.100,117.000,260.300,-47.5420,-0.6600,-2.2810,47.6020
315.100,117.000,260.300,-47.4900,-0.7230,-2.2770,47.5480
295.100,117.000,260.300,-47.5180,-0.7270,-2.2750,47.5810
275.100,117.000,260.300,-47.5410,-0.7500,-2.2620,47.6010
255.100,117.000,260.300,-47.5520,-0.7850,-2.2360,47.6140
235.100,117.000,260.300,-47.5570,-0.8020,-2.2240,47.6170
215.100,117.000,260.300,-47.5610,-0.8130,-2.2040,47.6170
195.100,117.000,260.300,-47.5760,-0.8260,-2.1910,47.6330
175.100,97.000,260.300,-47.5910,-0.8360,-2.1900,47.6460
195.100,97.000,260.300,-47.6100,-0.8620,-2.1780,47.6640
215.100,97.000,260.300,-47.5800,-0.8480,-2.1860,47.6370
235.100,97.000,260.300,-47.5620,-0.8430,-2.1940,47.6200
255.100,97.000,260.300,-47.5480,-0.8380,-2.2030,47.6040
275.100,97.000,260.300,-47.5350,-0.8260,-2.2190,47.5920
295.100,97.000,260.300,-47.5270,-0.8020,-2.2390,47.5860
315.100,97.000,260.300,-47.5180,-0.7890,-2.2580,47.5760
315.100,77.000,260.300,-47.5070,-0.7820,-2.2700,47.5650
295.100,77.000,260.300,-47.4930,-0.8080,-2.2630,47.5530
275.100,77.000,260.300,-47.5060,-0.8130,-2.2490,47.5630
255.100,77.000,260.300,-47.5110,-0.8270,-2.2320,47.5690
