Keithley Instruments: Cyclic Voltammetry

System Parameters
Date/Time,Wed Jul 20 16:58:16 2022
Model,2450
Serial Number,04509830
Firmware,1.6.7c
Program Version,122148
EC Framework Version,1.0

General Parameters

Source Parameters
Source Range, 2
# of Vertices, 3, 
Vertex 1, -0.3, V
Vertex 2, 0.7, V
Vertex 3, -0.3, V
Vertex 4, 4, V
Source Rate, 50, mV/sec
# of Cycles, 200

Measure Parameters
Current Range, 0.01, A
Sampling Interval, 100, points/cycle
nplc, 0.95

Calculated Parameters
-0.135,2.13645e-06, 83.2406
-0.115,4.29526e-06, 83.6406
-0.094,6.16349e-06, 84.0606
-0.074,3.75323e-06, 84.4606
-0.054,1.35601e-06, 84.8606
-0.034,1.112e-06, 85.2606
-0.014,1.06357e-06, 85.6606
0.007,1.08592e-06, 86.0806
0.027,1.18092e-06, 86.4806
0.047,1.30758e-06, 86.8806
0.067,1.43982e-06, 87.2806
0.087,1.53482e-06, 87.6806
0.108,1.61678e-06, 88.1006
0.128,1.69314e-06, 88.5006
0.148,1.76392e-06, 88.9006
0.168,1.80677e-06, 89.3006
0.188,1.84961e-06, 89.7006
0.209,1.90362e-06, 90.1206
0.229,1.99117e-06, 90.5206
0.249,2.14763e-06, 90.9206
0.269,2.42703e-06, 91.3206
0.289,2.96161e-06, 91.7206
0.31,4.00841e-06, 92.1406
0.33,5.84871e-06, 92.5406
0.35,8.91834e-06, 92.9406
0.37,1.32322e-05, 93.3406
0.39,1.70283e-05, 93.7406
0.411,1.58027e-05, 94.1606
0.431,1.28932e-05, 94.5606
0.451,1.09058e-05, 94.9606
0.471,9.65782e-06, 95.3606
0.491,8.86805e-06, 95.7606
0.512,8.35769e-06, 96.1806
0.532,8.45082e-06, 96.5806
0.552,9.65409e-06, 96.9806
0.572,1.22115e-05, 97.3806
0.592,1.38748e-05, 97.7806
0.613,1.37109e-05, 98.2006
0.633,1.28746e-05, 98.6006
0.653,1.20252e-05, 99.0006
0.673,1.13137e-05, 99.4006
0.693,1.07493e-05, 99.8006
0.685,8.66875e-06, 100.221
0.665,7.45058e-06, 100.621
0.645,6.50622e-06, 101.021
0.625,5.62146e-06, 101.421
0.605,4.62867e-06, 101.821
0.584,3.39374e-06, 102.241
0.564,2.21469e-06, 102.641
0.544,1.36532e-06, 103.041
0.524,8.62405e-07, 103.441
0.504,4.63799e-07, 103.841
0.483,-1.00583e-07, 104.261
0.463,-1.01142e-06, 104.661
0.443,-2.78838e-06, 105.061
0.423,-6.25476e-06, 105.461
0.403,-1.23773e-05, 105.861
0.382,-1.77734e-05, 106.281
0.362,-1.62553e-05, 106.681
0.342,-1.32322e-05, 107.081
0.322,-1.03042e-05, 107.481
0.302,-8.16397e-06, 107.881
0.281,-6.72601e-06, 108.301
0.261,-5.85057e-06, 108.701
0.241,-5.28805e-06, 109.101
0.221,-4.8168e-06, 109.501
0.201,-4.41074e-06, 109.901
0.18,-3.87989e-06, 110.321
0.16,-3.53344e-06, 110.721
0.14,-3.3658e-06, 111.121
0.12,-3.26335e-06, 111.521
0.1,-3.19816e-06, 111.921
0.079,-3.17767e-06, 112.341
0.059,-3.17022e-06, 112.741
0.039,-3.20561e-06, 113.141
0.019,-3.21865e-06, 113.541
-0.001,-3.02121e-06, 113.941
-0.022,-2.997e-06, 114.361
-0.042,-2.88896e-06, 114.761
-0.062,-2.79769e-06, 115.161
-0.082,-2.71946e-06, 115.561
-0.102,-2.66731e-06, 115.961
-0.123,-2.66917e-06, 116.381
-0.143,-2.83495e-06, 116.781
-0.163,-3.0566e-06, 117.181
-0.183,-3.16277e-06, 117.581
-0.203,-3.17954e-06, 117.981
-0.224,-3.11062e-06, 118.401
-0.244,-3.02494e-06, 118.801
-0.264,-2.94484e-06, 119.201
-0.284,-2.87592e-06, 119.601
-0.294,-2.60398e-06, 120.021
-0.274,-2.25753e-06, 120.421
-0.254,-2.02097e-06, 120.821
-0.234,-1.79559e-06, 121.221
-0.214,-1.53854e-06, 121.621
-0.193,-1.13808e-06, 122.041
-0.173,-5.32717e-07, 122.441
-0.153,4.07919e-07, 122.841
-0.133,1.80304e-06, 123.241
-0.113,3.74019e-06, 123.641
-0.092,5.56186e-06, 124.061
-0.072,3.70853e-06, 124.461
-0.052,1.60933e-06, 124.861
-0.032,1.41189e-06, 125.261
-0.012,1.39512e-06, 125.661
0.009,1.45286e-06, 126.081
0.029,1.60001e-06, 126.481
0.049,1.79932e-06, 126.881
0.069,1.98185e-06, 127.281
0.089,2.11224e-06, 127.681
0.11,2.23145e-06, 128.101
0.13,2.31713e-06, 128.501
0.15,2.38046e-06, 128.901
0.17,2.42703e-06, 129.301
0.19,2.45497e-06, 129.701
0.211,2.48849e-06, 130.121
